"TRA_new.ensembl.transcript","TRA_new.gene.symbol"
"ENSMUST00000015394","Mmp13"
"ENSMUST00000015435","Gdi1"
"ENSMUST00000015449","Sash1"
"ENSMUST00000015498","Pcolce2"
"ENSMUST00000015545","Tmem27"
"ENSMUST00000015583","Ctsg"
"ENSMUST00000015596","Ager"
"ENSMUST00000015663","2310057J18Rik"
"ENSMUST00000015664","Ctsk"
"ENSMUST00000015667","Ctss"
"ENSMUST00000015841","Setdb1"
"ENSMUST00000015858","Cers2"
"ENSMUST00000015866","Nlrp5"
"ENSMUST00000015920","Med22"
"ENSMUST00000015941","Bhmt2"
"ENSMUST00000015950","Qdpr"
"ENSMUST00000015994","Adamtsl4"
"ENSMUST00000016031","Hal"
"ENSMUST00000016033","Lta4h"
"ENSMUST00000016034","Amdhd1"
"ENSMUST00000016094","Ncf1"
"ENSMUST00000016105","Adss"
"ENSMUST00000016138","Fnta"
"ENSMUST00000016144","Ppap2a"
"ENSMUST00000016168","Lbp"
"ENSMUST00000016231","Fli1"
"ENSMUST00000016309","Tmbim1"
"ENSMUST00000016396","Atp5e"
"ENSMUST00000016638","Cd34"
"ENSMUST00000016678","Lamp2"
"ENSMUST00000016703","H3f3b"
"ENSMUST00000017142","Svs4"
"ENSMUST00000017148","Svs5"
"ENSMUST00000017184","Serpinb6b"
"ENSMUST00000017193","Ccdc70"
"ENSMUST00000017208","Prl5a1"
"ENSMUST00000017290","Brca1"
"ENSMUST00000017488","Vtn"
"ENSMUST00000017604","Cyba"
"ENSMUST00000017610","Timp2"
"ENSMUST00000017629","Top2b"
"ENSMUST00000017692","Suz12"
"ENSMUST00000017732","Krt27"
"ENSMUST00000017741","Krt12"
"ENSMUST00000017743","Krt20"
"ENSMUST00000017841","Ada"
"ENSMUST00000017851","Serinc3"
"ENSMUST00000017859","Pgs1"
"ENSMUST00000017881","Mmp9"
"ENSMUST00000018012","Sgk2"
"ENSMUST00000018061","Prl"
"ENSMUST00000018113","Ptgis"
"ENSMUST00000018122","Cadps2"
"ENSMUST00000018186","Cyb5r3"
"ENSMUST00000018246","Hist1h2bc"
"ENSMUST00000018355","Wfdc15b"
"ENSMUST00000018382","Gdf9"
"ENSMUST00000018383","Zcchc10"
"ENSMUST00000018389","Prl8a8"
"ENSMUST00000018392","Prl8a6"
"ENSMUST00000018399","Krt33a"
"ENSMUST00000018403","Prl8a2"
"ENSMUST00000018437","Pfn1"
"ENSMUST00000018470","Ywhab"
"ENSMUST00000018544","Sept4"
"ENSMUST00000018547","Ggnbp2"
"ENSMUST00000018561","Myo1b"
"ENSMUST00000018572","Akap1"
"ENSMUST00000018637","Myh1"
"ENSMUST00000018653","Cenpv"
"ENSMUST00000018699","Asgr1"
"ENSMUST00000018710","Slc2a4"
"ENSMUST00000018713","Cldn7"
"ENSMUST00000018718","Acadvl"
"ENSMUST00000018748","Tbx3"
"ENSMUST00000018765","Mmp8"
"ENSMUST00000018792","Dusp14"
"ENSMUST00000018795","Tada2a"
"ENSMUST00000018816","Copz2"
"ENSMUST00000018821","Slc25a39"
"ENSMUST00000018871","Cpsf4l"
"ENSMUST00000018918","Cd68"
"ENSMUST00000018963","Lsp1"
"ENSMUST00000018965","Avpi1"
"ENSMUST00000018992","Rars"
"ENSMUST00000019050","P4ha2"
"ENSMUST00000019051","Alox12e"
"ENSMUST00000019063","Tm4sf5"
"ENSMUST00000019071","Ccl6"
